Reason1,Reason2,Reason3,Reason4,Month,Day,Transportation_Expense,Distance,Age,Workload ,Hit_Target,Disciplinary_Failure,Education,Son,Social_Drinker,Social_Smoker,Pet,BMI,Absenteeism
0,0,0,1,7,3,289,36,33,239554,97,0,0,2,1,0,1,30,4
0,0,0,0,7,3,118,13,50,239554,97,1,0,1,1,0,0,31,0
0,0,0,1,7,4,179,51,38,239554,97,0,0,0,1,0,0,31,2
1,0,0,0,7,5,279,5,39,239554,97,0,0,2,1,1,0,24,4
0,0,0,1,7,5,289,36,33,239554,97,0,0,2,1,0,1,30,2
0,0,0,1,7,6,179,51,38,239554,97,0,0,0,1,0,0,31,2
0,0,0,1,7,6,361,52,28,239554,97,0,0,1,1,0,4,27,8
0,0,0,1,7,6,260,50,36,239554,97,0,0,4,1,0,0,23,4
0,0,1,0,7,2,155,12,34,239554,97,0,0,2,1,0,0,25,40
0,0,0,1,7,2,235,11,37,239554,97,0,1,1,0,0,1,29,8
1,0,0,0,7,2,260,50,36,239554,97,0,0,4,1,0,0,23,8
1,0,0,0,7,3,260,50,36,239554,97,0,0,4,1,0,0,23,8
1,0,0,0,7,4,260,50,36,239554,97,0,0,4,1,0,0,23,8
1,0,0,0,7,4,179,51,38,239554,97,0,0,0,1,0,0,31,1
0,0,0,1,7,4,179,51,38,239554,97,0,0,0,1,0,0,31,4
1,0,0,0,7,6,246,25,41,239554,97,0,0,0,1,0,0,23,8
0,0,0,1,7,6,179,51,38,239554,97,0,0,0,1,0,0,31,2
0,0,1,0,7,2,179,51,38,239554,97,0,0,0,1,0,0,31,8
1,0,0,0,7,5,189,29,33,239554,97,0,0,2,0,0,2,25,8
0,0,0,1,8,4,248,25,47,205917,92,0,0,2,0,0,1,32,2
1,0,0,0,8,4,330,16,28,205917,92,0,1,0,0,0,0,25,8
1,0,0,0,8,2,179,51,38,205917,92,0,0,0,1,0,0,31,1
1,0,0,0,8,2,361,52,28,205917,92,0,0,1,1,0,4,27,40
0,0,0,1,8,6,260,50,36,205917,92,0,0,4,1,0,0,23,4
0,0,1,0,8,2,289,36,33,205917,92,0,0,2,1,0,1,30,8
0,0,0,1,8,2,361,52,28,205917,92,0,0,1,1,0,4,27,7
0,0,0,1,8,3,289,36,33,205917,92,0,0,2,1,0,1,30,1
0,0,0,1,8,4,157,27,29,205917,92,0,0,0,1,1,0,22,4
0,0,1,0,8,4,289,36,33,205917,92,0,0,2,1,0,1,30,8
0,0,0,1,8,6,179,51,38,205917,92,0,0,0,1,0,0,31,2
0,0,1,0,8,2,179,51,38,205917,92,0,0,0,1,0,0,31,8
0,0,1,0,8,5,235,29,48,205917,92,0,0,1,0,1,5,33,8
0,0,0,1,8,5,235,11,37,205917,92,0,1,1,0,0,1,29,4
0,0,1,0,8,2,235,29,48,205917,92,0,0,1,0,1,5,33,8
0,0,0,1,8,2,179,51,38,205917,92,0,0,0,1,0,0,31,2
0,0,0,1,8,2,361,52,28,205917,92,0,0,1,1,0,4,27,1
0,0,0,1,8,3,289,36,33,205917,92,0,0,2,1,0,1,30,8
1,0,0,0,8,5,291,50,32,205917,92,0,0,0,1,0,0,23,4
0,0,0,1,8,6,235,29,48,205917,92,0,0,1,0,1,5,33,8
0,0,0,1,8,6,260,50,36,205917,92,0,0,4,1,0,0,23,4
0,0,0,1,9,3,184,42,27,241476,92,0,0,0,0,0,0,21,2
0,0,0,1,9,2,118,10,37,241476,92,0,0,0,0,0,0,28,4
0,0,0,1,9,3,179,51,38,241476,92,0,0,0,1,0,0,31,4
0,0,1,0,9,3,235,20,43,241476,92,0,0,1,1,0,0,38,8
0,0,0,1,9,4,155,12,34,241476,92,0,0,2,1,0,0,25,2
0,0,0,1,9,2,118,10,37,241476,92,0,0,0,0,0,0,28,3
0,0,0,1,9,3,179,51,38,241476,92,0,0,0,1,0,0,31,3
0,0,0,1,9,5,291,31,40,241476,92,0,0,1,1,0,1,25,4
0,0,0,1,9,6,260,50,36,241476,92,0,0,4,1,0,0,23,8
1,0,0,0,9,2,291,31,40,241476,92,0,0,1,1,0,1,25,32
0,0,0,0,9,2,260,50,36,241476,92,1,0,4,1,0,0,23,0
0,0,0,0,9,2,225,26,28,241476,92,1,0,1,0,0,2,24,0
0,0,0,1,9,3,225,26,28,241476,92,0,0,1,0,0,2,24,2
0,0,0,1,9,3,118,10,37,241476,92,0,0,0,0,0,0,28,2
0,0,0,0,9,3,289,36,33,241476,92,1,0,2,1,0,1,30,0
0,0,0,0,9,3,118,13,50,241476,92,1,0,1,1,0,0,31,0
0,0,1,0,9,4,225,26,28,241476,92,0,0,1,0,0,2,24,3
0,0,0,1,9,4,179,51,38,241476,92,0,0,0,1,0,0,31,3
0,0,0,0,9,4,369,17,31,241476,92,1,0,3,1,0,0,25,0
0,0,0,1,9,6,248,25,47,241476,92,0,0,2,0,0,1,32,1
0,0,0,1,9,6,179,51,38,241476,92,0,0,0,1,0,0,31,3
0,0,0,1,9,6,260,50,36,241476,92,0,0,4,1,0,0,23,4
0,0,0,1,10,3,179,51,38,253465,93,0,0,0,1,0,0,31,3
0,0,0,1,10,3,118,10,37,253465,93,0,0,0,0,0,0,28,3
0,0,0,0,10,4,118,13,50,253465,93,1,0,1,1,0,0,31,0
0,0,0,1,10,5,179,26,30,253465,93,0,1,0,0,0,0,19,1
0,0,0,1,10,6,179,51,38,253465,93,0,0,0,1,0,0,31,3
0,0,0,1,10,6,225,26,28,253465,93,0,0,1,0,0,2,24,3
0,0,0,1,10,3,118,10,37,253465,93,0,0,0,0,0,0,28,3
0,0,0,1,10,4,225,26,28,253465,93,0,0,1,0,0,2,24,2
0,0,0,1,10,4,248,25,47,253465,93,0,0,2,0,0,1,32,2
0,0,0,1,10,5,291,31,40,253465,93,0,0,1,1,0,1,25,5
0,0,0,1,10,4,179,51,38,253465,93,0,0,0,1,0,0,31,8
0,0,0,1,10,4,225,26,28,253465,93,0,0,1,0,0,2,24,3
0,0,1,0,10,5,260,50,36,253465,93,0,0,4,1,0,0,23,16
1,0,0,0,10,3,291,31,40,253465,93,0,0,1,1,0,1,25,8
0,0,0,1,10,3,225,26,28,253465,93,0,0,1,0,0,2,24,2
0,0,0,1,10,4,289,36,33,253465,93,0,0,2,1,0,1,30,8
0,0,0,1,10,6,361,52,28,253465,93,0,0,1,1,0,4,27,1
0,0,0,1,10,6,260,50,36,253465,93,0,0,4,1,0,0,23,3
0,0,0,1,11,5,179,51,38,306345,93,0,0,0,1,0,0,31,1
0,0,0,1,11,4,225,26,28,306345,93,0,0,1,0,0,2,24,1
1,0,0,0,11,5,179,51,38,306345,93,0,0,0,1,0,0,31,8
0,0,1,0,11,5,179,22,40,306345,93,0,1,2,0,1,0,22,8
0,0,0,1,11,5,291,31,40,306345,93,0,0,1,1,0,1,25,5
1,0,0,0,11,2,155,12,34,306345,93,0,0,2,1,0,0,25,32
0,0,0,1,11,2,189,29,33,306345,93,0,0,2,0,0,2,25,8
1,0,0,0,11,2,291,31,40,306345,93,0,0,1,1,0,1,25,40
0,0,0,1,11,4,225,26,28,306345,93,0,0,1,0,0,2,24,1
1,0,0,0,11,6,155,12,34,306345,93,0,0,2,1,0,0,25,8
0,0,0,1,11,4,225,26,28,306345,93,0,0,1,0,0,2,24,3
0,0,1,0,11,4,179,22,40,306345,93,0,1,2,0,1,0,22,8
1,0,0,0,11,6,225,26,28,306345,93,0,0,1,0,0,2,24,3
0,0,0,1,11,6,260,50,36,306345,93,0,0,4,1,0,0,23,4
0,0,0,1,11,2,248,25,47,306345,93,0,0,2,0,0,1,32,1
0,0,0,1,11,3,225,26,28,306345,93,0,0,1,0,0,2,24,3
1,0,0,0,11,4,289,36,33,306345,93,0,0,2,1,0,1,30,24
0,0,0,1,11,5,291,31,40,306345,93,0,0,1,1,0,1,25,3
0,0,0,1,12,3,248,25,47,261306,97,0,0,2,0,0,1,32,1
0,0,1,0,12,3,118,10,37,261306,97,0,0,0,0,0,0,28,64
0,0,0,1,12,4,118,13,50,261306,97,0,0,1,1,0,0,31,2
0,0,0,1,12,4,235,11,37,261306,97,0,1,1,0,0,1,29,8
0,0,0,1,12,5,225,26,28,261306,97,0,0,1,0,0,2,24,2
0,0,0,1,12,6,260,50,36,261306,97,0,0,4,1,0,0,23,8
0,0,1,0,12,3,118,10,37,261306,97,0,0,0,0,0,0,28,56
0,0,0,1,12,4,361,52,28,261306,97,0,0,1,1,0,4,27,8
0,0,0,1,12,5,225,26,28,261306,97,0,0,1,0,0,2,24,3
0,0,0,1,12,6,260,50,36,261306,97,0,0,4,1,0,0,23,3
0,0,0,1,12,3,225,26,28,261306,97,0,0,1,0,0,2,24,2
0,0,0,1,12,4,361,52,28,261306,97,0,0,1,1,0,4,27,8
0,0,0,1,12,6,118,10,37,261306,97,0,0,0,0,0,0,28,2
0,0,1,0,12,6,246,25,41,261306,97,0,0,0,1,0,0,23,8
0,0,0,1,12,6,225,26,28,261306,97,0,0,1,0,0,2,24,2
0,0,0,1,1,4,225,26,28,308593,95,0,0,1,0,0,2,24,1
0,0,1,0,1,2,118,10,37,308593,95,0,0,0,0,0,0,28,1
0,0,0,1,1,3,118,10,37,308593,95,0,0,0,0,0,0,28,1
0,0,1,0,1,3,155,12,34,308593,95,0,0,2,1,0,0,25,8
0,0,0,1,1,4,225,26,28,308593,95,0,0,1,0,0,2,24,2
0,0,0,1,1,5,184,42,27,308593,95,0,0,0,0,0,0,21,2
0,0,0,1,1,5,225,26,28,308593,95,0,0,1,0,0,2,24,2
0,0,0,1,1,6,225,26,28,308593,95,0,0,1,0,0,2,24,1
0,0,0,1,1,2,118,10,37,308593,95,0,0,0,0,0,0,28,2
0,0,0,1,1,3,225,26,28,308593,95,0,0,1,0,0,2,24,2
0,0,0,1,1,3,118,10,37,308593,95,0,0,0,0,0,0,28,2
0,0,0,1,1,4,118,10,37,308593,95,0,0,0,0,0,0,28,2
0,0,0,1,1,5,118,10,37,308593,95,0,0,0,0,0,0,28,2
0,0,0,1,1,6,118,10,37,308593,95,0,0,0,0,0,0,28,2
0,0,0,1,1,2,118,10,37,308593,95,0,0,0,0,0,0,28,2
0,0,0,1,1,3,118,10,37,308593,95,0,0,0,0,0,0,28,2
0,0,1,0,1,3,179,26,30,308593,95,0,1,0,0,0,0,19,8
0,0,1,0,1,3,289,36,33,308593,95,0,0,2,1,0,1,30,8
0,0,0,1,1,4,118,10,37,308593,95,0,0,0,0,0,0,28,2
0,0,0,1,1,5,184,42,27,308593,95,0,0,0,0,0,0,21,2
0,0,0,1,1,5,118,10,37,308593,95,0,0,0,0,0,0,28,2
0,0,0,1,1,2,118,10,37,308593,95,0,0,0,0,0,0,28,0
0,0,0,1,1,3,225,26,28,308593,95,0,0,1,0,0,2,24,1
0,0,0,1,1,5,289,36,33,308593,95,0,0,2,1,0,1,30,3
0,0,0,1,2,6,184,42,27,302585,99,0,0,0,0,0,0,21,1
1,0,0,0,2,4,246,25,41,302585,99,0,0,0,1,0,0,23,8
1,0,0,0,2,4,179,51,38,302585,99,0,0,0,1,0,0,31,8
0,0,0,1,2,5,155,12,34,302585,99,0,0,2,1,0,0,25,2
0,0,0,1,2,5,189,29,33,302585,99,0,0,2,0,0,2,25,8
0,0,0,1,2,6,260,50,36,302585,99,0,0,4,1,0,0,23,2
0,0,0,1,2,6,289,36,33,302585,99,0,0,2,1,0,1,30,8
1,0,0,0,2,2,388,15,50,302585,99,0,0,0,0,0,0,24,8
1,0,0,0,2,3,388,15,50,302585,99,0,0,0,0,0,0,24,8
0,0,0,1,2,2,225,26,28,302585,99,0,0,1,0,0,2,24,2
0,0,0,1,2,3,225,26,28,302585,99,0,0,1,0,0,2,24,2
0,0,0,1,2,3,179,26,30,302585,99,0,1,0,0,0,0,19,1
0,0,0,1,2,3,184,42,27,302585,99,0,0,0,0,0,0,21,8
0,0,0,1,2,5,225,26,28,302585,99,0,0,1,0,0,2,24,3
0,0,1,0,2,2,330,16,28,302585,99,0,1,0,0,0,0,25,8
0,0,0,1,2,3,330,16,28,302585,99,0,1,0,0,0,0,25,1
0,0,0,1,2,4,225,26,28,302585,99,0,0,1,0,0,2,24,1
0,0,1,0,2,5,189,29,33,302585,99,0,0,2,0,0,2,25,8
0,0,0,1,3,3,291,50,32,343253,95,0,0,0,1,0,0,23,2
0,0,1,0,3,3,260,50,36,343253,95,0,0,4,1,0,0,23,8
0,0,1,0,3,3,157,27,29,343253,95,0,0,0,1,1,0,22,3
0,1,0,0,3,3,179,22,40,343253,95,0,1,2,0,1,0,22,8
0,0,0,1,3,4,291,31,40,343253,95,0,0,1,1,0,1,25,8
1,0,0,0,3,4,260,50,36,343253,95,0,0,4,1,0,0,23,8
1,0,0,0,3,5,179,26,30,343253,95,0,1,0,0,0,0,19,8
1,0,0,0,3,6,248,25,47,343253,95,0,0,2,0,0,1,32,3
1,0,0,0,3,6,260,50,36,343253,95,0,0,4,1,0,0,23,40
1,0,0,0,3,2,179,22,40,343253,95,0,1,2,0,1,0,22,40
1,0,0,0,3,2,155,12,34,343253,95,0,0,2,1,0,0,25,16
0,0,0,1,3,2,260,50,36,343253,95,0,0,4,1,0,0,23,16
1,0,0,0,3,3,155,12,34,343253,95,0,0,2,1,0,0,25,8
1,0,0,0,3,5,289,36,33,343253,95,0,0,2,1,0,1,30,8
1,0,0,0,3,5,179,22,40,343253,95,0,1,2,0,1,0,22,8
0,0,0,1,3,6,260,50,36,343253,95,0,0,4,1,0,0,23,4
0,0,0,1,3,6,225,26,28,343253,95,0,0,1,0,0,2,24,1
1,0,0,0,3,2,279,5,39,343253,95,0,0,2,1,1,0,24,8
1,0,0,0,3,3,179,51,38,343253,95,0,0,0,1,0,0,31,24
0,0,0,1,3,4,225,26,28,343253,95,0,0,1,0,0,2,24,2
1,0,0,0,3,2,225,26,28,343253,95,0,0,1,0,0,2,24,8
1,0,0,0,3,2,179,26,30,343253,95,0,1,0,0,0,0,19,1
1,0,0,0,3,3,225,26,28,343253,95,0,0,1,0,0,2,24,8
1,0,0,0,3,4,225,26,28,343253,95,0,0,1,0,0,2,24,16
1,0,0,0,3,4,179,51,38,343253,95,0,0,0,1,0,0,31,3
1,0,0,0,3,5,279,5,39,343253,95,0,0,2,1,1,0,24,16
0,0,0,1,3,6,225,26,28,343253,95,0,0,1,0,0,2,24,2
1,0,0,0,3,6,248,25,47,343253,95,0,0,2,0,0,1,32,3
0,0,0,1,3,2,225,26,28,343253,95,0,0,1,0,0,2,24,1
0,0,0,1,4,4,291,31,40,326452,96,0,0,1,1,0,1,25,1
0,0,0,1,4,4,225,26,28,326452,96,0,0,1,0,0,2,24,1
0,0,0,1,4,3,155,12,34,326452,96,0,0,2,1,0,0,25,1
1,0,0,0,4,4,246,25,41,326452,96,0,0,0,1,0,0,23,24
0,0,0,1,4,5,155,12,34,326452,96,0,0,2,1,0,0,25,1
0,0,0,1,4,6,225,26,28,326452,96,0,0,1,0,0,2,24,2
0,0,0,1,4,6,260,50,36,326452,96,0,0,4,1,0,0,23,4
1,0,0,0,4,4,179,51,38,326452,96,0,0,0,1,0,0,31,24
0,0,0,1,4,5,118,13,50,326452,96,0,0,1,1,0,0,31,1
0,0,0,1,4,6,291,31,40,326452,96,0,0,1,1,0,1,25,3
1,0,0,0,4,6,246,25,41,326452,96,0,0,0,1,0,0,23,8
0,0,0,1,4,6,291,31,40,326452,96,0,0,1,1,0,1,25,1
0,0,0,1,4,6,248,25,47,326452,96,0,0,2,0,0,1,32,8
0,0,1,0,4,6,260,50,36,326452,96,0,0,4,1,0,0,23,56
0,0,1,0,4,3,289,36,33,326452,96,0,0,2,1,0,1,30,8
1,0,0,0,4,4,155,12,34,326452,96,0,0,2,1,0,0,25,24
0,0,1,0,4,4,378,49,36,326452,96,0,0,2,0,1,4,21,8
1,0,0,0,4,5,289,36,33,326452,96,0,0,2,1,0,1,30,16
1,0,0,0,4,6,235,11,37,326452,96,0,1,1,0,0,1,29,3
0,0,0,0,4,2,235,29,48,326452,96,1,0,1,0,1,5,33,0
1,0,0,0,5,4,289,36,33,378884,92,0,0,2,1,0,1,30,8
0,0,0,1,5,5,155,12,34,378884,92,0,0,2,1,0,0,25,2
0,0,0,1,5,2,155,12,34,378884,92,0,0,2,1,0,0,25,1
0,0,1,0,5,3,179,51,38,378884,92,0,0,0,1,0,0,31,8
0,0,1,0,5,3,225,26,28,378884,92,0,0,1,0,0,2,24,8
1,0,0,0,5,4,184,42,27,378884,92,0,0,0,0,0,0,21,4
0,0,0,1,5,2,155,12,34,378884,92,0,0,2,1,0,0,25,2
1,0,0,0,5,3,179,51,38,378884,92,0,0,0,1,0,0,31,1
1,0,0,0,5,4,289,36,33,378884,92,0,0,2,1,0,1,30,24
0,0,0,0,5,4,279,5,39,378884,92,1,0,2,1,1,0,24,0
0,0,0,0,5,4,330,16,28,378884,92,1,1,0,0,0,0,25,0
0,0,0,0,5,4,378,49,36,378884,92,1,0,2,0,1,4,21,0
0,0,0,0,5,4,388,15,50,378884,92,1,0,0,0,0,0,24,0
1,0,0,0,5,3,179,51,38,378884,92,0,0,0,1,0,0,31,1
1,0,0,0,5,4,118,13,50,378884,92,0,0,1,1,0,0,31,24
0,0,0,1,5,6,361,52,28,378884,92,0,0,1,1,0,4,27,8
0,0,1,0,6,2,246,25,41,377550,94,0,0,0,1,0,0,23,8
0,0,0,1,6,2,361,52,28,377550,94,0,0,1,1,0,4,27,8
1,0,0,0,6,3,246,25,41,377550,94,0,0,0,1,0,0,23,24
0,0,0,1,6,5,291,31,40,377550,94,0,0,1,1,0,1,25,4
1,0,0,0,6,6,246,25,41,377550,94,0,0,0,1,0,0,23,8
1,0,0,0,6,2,179,51,38,377550,94,0,0,0,1,0,0,31,8
0,0,0,1,6,2,155,12,34,377550,94,0,0,2,1,0,0,25,4
1,0,0,0,6,2,246,25,41,377550,94,0,0,0,1,0,0,23,8
1,0,0,0,6,4,118,13,50,377550,94,0,0,1,1,0,0,31,8
1,0,0,0,6,6,235,11,37,377550,94,0,1,1,0,0,1,29,16
0,0,0,1,6,3,118,13,50,377550,94,0,0,1,1,0,0,31,1
1,0,0,0,6,4,118,13,50,377550,94,0,0,1,1,0,0,31,80
0,0,0,1,6,5,378,49,36,377550,94,0,0,2,0,1,4,21,8
1,0,0,0,6,6,179,51,38,377550,94,0,0,0,1,0,0,31,2
0,0,0,1,6,2,289,48,49,377550,94,0,0,0,0,0,2,36,2
0,0,0,1,6,5,225,26,28,377550,94,0,0,1,0,0,2,24,2
0,0,1,0,7,3,155,12,34,275312,98,0,0,2,1,0,0,25,16
1,0,0,0,7,4,118,13,50,275312,98,0,0,1,1,0,0,31,8
1,0,0,0,7,6,118,10,37,275312,98,0,0,0,0,0,0,28,8
0,0,0,1,7,6,118,10,37,275312,98,0,0,0,0,0,0,28,4
0,0,0,1,7,3,330,16,28,275312,98,0,1,0,0,0,0,25,8
0,0,1,0,7,5,179,26,30,275312,98,0,1,0,0,0,0,19,8
0,0,0,1,7,6,155,12,34,275312,98,0,0,2,1,0,0,25,2
